証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
1856	上場廃止	ジェイオー建設	"4,325,799 "	133 	39.7 	14.7 	2005/6/30
1857	上場廃止	松村組	"4,946,124 "	757 	42.6 	19.5 	2005/6/30
1858	上場廃止	井上工業	"4,975,000 "	255 	40.7 	17.7 	2008/6/30
1860	建設業	戸田建設	"7,228,985 "	"4,163 "	45.5 	18.5 	2010/6/30
1861	建設業	熊谷組	"5,695,274 "	"2,502 "	43.5 	20.0 	2010/6/29
1862	上場廃止	横河工事	"6,693,015 "	449 	40.6 	17.3 	2007/6/28
1863	上場廃止	テトラ	"5,822,943 "	394 	45.0 	16.3 	2006/6/21
1865	建設業	青木あすなろ建設	"6,032,000 "	844 	44.2 	18.6 	2010/6/25
1866	建設業	北野建設	"6,739,081 "	549 	42.2 	18.3 	2010/6/25
1867	建設業	植木組	"5,586,564 "	575 	45.3 	21.3 	2010/6/29
1868	建設業	三井ホーム	"6,499,453 "	"2,655 "	37.7 	12.5 	2010/6/25
1869	建設業	名工建設	"6,810,000 "	"1,250 "	40.1 	15.1 	2010/6/25
1870	建設業	矢作建設工業	"6,596,777 "	810 	40.4 	17.1 	2010/6/29
1871	建設業	ピーエス三菱	"6,060,619 "	"1,074 "	41.8 	18.4 	2010/6/25
1872	上場廃止	アゼル	"5,394,917 "	202 	39.1 	12.5 	2008/6/20
1873	建設業	東日本ハウス	"4,557,998 "	"1,424 "	37.0 	11.0 	2010/1/28
1874	上場廃止	佐藤秀	"6,180,000 "	207 	43.2 	19.6 	2004/6/30
1875	建設業	青木マリーン	"6,782,000 "	63 	47.5 	15.9 	2010/6/25
1877	上場廃止	川田建設	"5,279,000 "	532 	39.9 	13.7 	2006/6/30
1878	建設業	大東建託	"8,968,266 "	"9,653 "	41.0 	6.0 	2010/6/25
1879	建設業	新日本建設	"5,086,964 "	356 	35.6 	9.7 	2010/6/29
1880	上場廃止	スルガコーポレーション	"5,625,441 "	76 	36.8 	8.6 	2010/6/28
1881	建設業	ＮＩＰＰＯ	"8,722,900 "	"4,755 "	46.0 	19.0 	2010/6/25
1882	建設業	東亜道路工業	"6,489,000 "	"1,448 "	44.0 	19.9 	2010/6/29
1883	建設業	前田道路	"8,152,000 "	"2,102 "	40.2 	16.2 	2010/6/29
1884	建設業	日本道路	"7,616,363 "	"2,227 "	44.8 	21.4 	2010/6/29
1885	建設業	東亜建設工業	"7,086,643 "	"1,702 "	43.5 	18.5 	2010/6/29
1888	建設業	若築建設	"5,965,834 "	693 	43.3 	18.9 	2010/6/30
1889	上場廃止	あおみ建設	"5,443,332 "	378 	42.6 	17.1 	2008/6/27
1890	建設業	東洋建設	"6,346,180 "	"1,288 "	43.3 	18.6 	2010/6/25
1892	建設業	徳倉建設	"5,026,000 "	351 	43.4 	16.3 	2010/6/29
1893	建設業	五洋建設	"7,417,019 "	"2,674 "	43.2 	19.6 	2010/6/29
1895	上場廃止	大成ロテック	"6,989,259 "	"1,468 "	44.4 	20.2 	2009/6/25
1896	建設業	大林道路	"7,040,649 "	"1,323 "	41.1 	16.4 	2010/6/24
1897	建設業	金下建設	"4,903,442 "	270 	45.0 	18.5 	2010/3/26
1898	建設業	世紀東急工業	"6,210,617 "	"1,055 "	42.3 	17.5 	2010/6/29
1899	建設業	福田組	"5,344,203 "	824 	43.2 	18.2 	2010/3/26
1900	上場廃止	白石	"5,899,000 "	521 	42.9 	15.6 	2007/6/29
1902	上場廃止	山崎建設	"5,883,934 "	"1,097 "	40.7 	16.9 	2008/6/26
1904	建設業	大成温調	"5,725,312 "	652 	42.6 	18.5 	2010/6/29
1905	建設業	テノックス	"5,674,809 "	172 	42.1 	12.8 	2010/6/29
1906	建設業	細田工務店	"4,065,704 "	300 	39.2 	12.3 	2010/6/29
1907	上場廃止	東北ミサワホーム	"4,571,232 "	558 	37.6 	12.2 	2010/6/29
1908	上場廃止	三平建設	"6,090,499 "	195 	41.4 	13.8 	2008/6/27
1911	建設業	住友林業	"7,659,438 "	"5,433 "	39.2 	12.3 	2010/6/25
1913	上場廃止	旭ホームズ	"5,070,452 "	35 	43.7 	16.5 	2008/6/27
1914	建設業	日本基礎技術	"5,406,441 "	399 	41.7 	16.5 	2010/6/30
1915	上場廃止	東京ミサワホーム	"5,567,100 "	723 	37.2 	10.7 	2003/6/27
1916	建設業	日成ビルド工業	"3,723,798 "	485 	42.4 	14.0 	2010/6/29
1917	上場廃止	ニツセキハウス工業	"5,370,399 "	270 	36.8 	11.5 	2002/6/28
1919	建設業	エス・バイ・エル	"4,825,758 "	"1,181 "	41.0 	13.3 	2010/6/30
1921	建設業	巴コーポレーション	"5,627,275 "	359 	46.4 	22.6 	2010/6/29
1922	上場廃止	大成ユーレック	"6,422,229 "	611 	42.7 	19.6 	2003/6/25
1924	建設業	パナホーム	"6,399,695 "	"4,264 "	39.8 	16.0 	2010/6/23
1925	建設業	大和ハウス工業	"6,835,486 "	"16,135 "	37.8 	13.2 	2010/6/29
